9;7;11;16;12;32;10;47;62;0;11;-3;41;4;18;31;0
8;34;8;19;24;48;27;0;33;5;13;-2;30;34;31;37;1
9;7;6;18;19;33;82;55;27;0;9;-3;49;21;44;25;1
10;14;-6;17;10;29;41;26;15;-1;12;-4;16;36;25;60;0
8;-15;5;16;21;41;94;43;44;3;14;1;8;20;15;12;0
9;-13;19;15;4;50;91;15;44;-1;11;-1;41;19;44;54;1
9;33;-3;16;16;50;7;22;37;-2;14;-6;8;27;29;58;0
10;22;29;19;4;31;51;41;54;1;14;1;52;13;35;40;1
8;-2;4;16;23;46;19;41;42;4;14;1;55;9;50;14;1
10;7;3;18;24;50;70;12;57;5;8;1;29;38;51;5;1
9;11;2;18;7;46;17;37;69;1;14;2;60;17;37;49;1
9;56;8;15;8;34;41;4;41;3;8;-3;53;33;21;5;1
10;18;11;14;5;12;31;32;34;1;14;-6;39;11;20;38;0
8;7;8;18;15;32;75;49;64;3;12;2;50;10;1;45;1
8;45;27;19;14;33;38;40;59;-4;11;-5;50;26;28;46;1
10;45;22;19;16;32;30;11;23;-3;10;-1;45;19;58;35;1
9;23;18;14;11;50;18;38;48;1;8;2;10;19;29;12;0
9;11;21;16;13;22;94;40;51;-1;14;1;27;16;-3;16;0
10;51;0;15;9;50;27;12;27;-3;8;-6;49;11;39;37;1
9;56;26;15;4;50;83;39;61;-1;10;-2;18;14;-4;44;1
8;55;2;16;14;47;52;23;53;1;13;1;53;9;3;29;1
10;29;-7;19;4;52;22;27;62;-1;9;1;46;25;36;34;1
9;3;27;19;10;40;34;9;43;-4;8;-4;36;25;58;40;1
10;47;12;17;10;20;85;15;67;-1;14;-1;53;31;37;13;1
9;63;21;17;8;18;21;44;49;-3;8;-2;60;35;12;60;1
9;10;1;18;6;20;15;10;19;1;10;-2;41;17;33;11;0
10;17;-6;16;11;47;2;52;50;-2;11;1;59;26;13;42;1
8;35;1;18;14;20;57;4;64;3;8;0;27;26;15;10;0
8;12;9;17;22;19;84;4;23;-1;10;-1;22;39;33;60;1
10;-4;-6;19;8;30;90;53;38;-1;9;-2;23;26;57;31;0
8;51;8;15;12;27;64;13;10;1;9;0;21;10;60;12;0
9;55;11;19;19;30;87;1;24;4;14;-4;59;29;60;38;1
9;-2;-1;16;7;17;47;28;38;-1;10;2;12;12;-5;10;0
10;-11;24;17;10;45;2;17;28;1;13;-2;60;19;6;22;0
8;47;7;17;16;26;42;4;45;-1;10;0;16;19;39;59;0
10;58;6;17;15;38;94;43;52;2;8;-4;37;22;2;20;1
9;44;7;17;13;53;53;40;44;3;10;-2;4;21;12;43;1
10;23;23;15;19;48;6;56;33;2;11;1;21;32;51;39;1
10;13;3;14;11;23;26;23;46;0;12;-6;24;5;33;20;0
10;23;27;19;24;41;37;43;45;3;14;-3;65;31;48;42;1
10;3;29;19;22;49;46;24;27;-1;11;2;15;5;26;44;0
9;0;-7;19;18;23;9;54;54;3;11;-1;26;22;45;21;0
10;-14;5;14;3;31;38;54;45;-1;9;2;4;40;25;14;0
9;3;-6;19;11;18;74;6;52;3;10;-5;37;17;49;54;0
10;12;4;19;17;51;33;34;18;-2;9;-3;53;12;61;26;1
8;31;29;18;4;18;52;55;29;2;9;0;63;5;4;41;1
8;-3;-2;14;12;20;45;50;10;-2;9;-5;57;38;21;12;0
10;31;21;16;11;31;53;52;9;1;12;1;29;40;32;33;1
8;22;-1;16;12;14;30;18;62;-4;10;0;47;31;9;42;0
8;-7;27;17;19;18;88;17;71;5;14;-3;54;4;-5;34;0
10;37;2;14;18;30;73;16;16;-4;8;-4;59;20;41;40;1
9;-9;15;19;4;18;78;3;35;-2;8;1;59;16;34;52;0
9;34;6;17;16;30;15;15;17;2;13;-3;53;2;40;58;1
10;42;30;19;23;50;-3;43;22;-4;8;1;31;3;7;11;0
9;56;19;19;22;33;62;39;12;-3;10;-1;22;35;38;8;1
10;8;2;18;5;12;24;3;9;-2;11;2;12;12;-3;19;0
8;7;26;18;19;37;12;42;66;4;11;-3;15;34;10;22;0
9;36;9;14;21;16;22;14;10;0;10;-5;8;33;54;55;0
10;55;11;15;16;41;76;12;17;4;8;2;29;7;6;11;0
8;15;32;16;9;37;84;2;59;4;13;-5;34;6;-1;22;0
8;-9;31;15;3;50;75;20;49;-1;14;-5;32;11;13;30;0
9;-9;14;16;18;32;17;1;32;3;10;2;60;22;8;5;0
10;46;7;19;10;53;60;18;53;0;8;0;39;10;9;27;1
10;12;7;14;4;24;72;24;51;-3;8;0;8;31;42;32;0
9;43;19;19;19;49;29;40;52;-1;9;-4;32;9;-3;38;1
10;36;-1;16;9;44;-4;48;37;1;11;-5;24;28;26;43;0
8;17;1;17;20;26;69;3;46;3;13;-3;37;10;17;23;0
10;53;30;17;13;31;88;19;32;3;13;-5;17;22;26;38;1
8;20;-1;17;11;51;53;10;43;-3;8;-2;4;23;19;15;0
9;60;0;17;21;36;39;8;68;3;8;2;50;10;-4;41;1
10;40;21;15;18;26;79;32;71;-1;9;-5;62;2;46;12;1
10;-2;0;18;18;24;37;4;64;3;11;2;36;26;13;44;0
8;-2;27;18;21;46;42;17;13;2;8;-4;14;27;39;19;0
8;-4;19;15;16;49;93;-1;33;0;13;-6;24;39;13;27;1
10;-3;12;14;10;47;19;21;46;5;14;1;24;4;8;58;0
10;13;21;15;15;31;62;40;21;1;9;-3;30;3;6;14;0
9;15;24;17;10;22;88;31;33;0;10;0;36;26;52;23;1
9;28;16;19;18;38;60;2;15;-4;13;-3;7;3;44;34;0
8;34;4;14;9;49;15;49;31;-2;12;-4;17;15;12;36;0
9;-4;25;14;6;20;90;42;62;1;11;0;37;23;12;32;0
10;-2;2;14;12;48;68;47;61;-4;14;1;32;11;25;3;0
9;24;4;15;23;51;86;20;29;-2;10;-3;27;2;23;3;0
10;-9;-6;16;10;18;40;22;28;2;10;0;19;2;-1;55;0
8;36;19;18;11;27;92;11;34;-2;14;-1;28;11;54;16;1
8;60;23;18;3;35;35;20;13;-4;9;-2;57;13;11;50;1
8;16;13;14;10;24;68;15;45;2;9;0;55;37;41;48;1
8;-4;24;17;18;16;80;30;47;0;10;-1;8;23;19;30;0
10;6;-1;19;20;16;91;0;24;4;10;-2;5;21;16;46;0
8;30;-4;19;11;47;-4;46;24;5;13;-5;46;3;39;13;0
8;34;-6;15;3;37;21;50;21;0;14;-2;15;16;22;47;0
9;-1;7;15;19;20;46;55;27;4;11;-6;17;32;25;42;0
9;16;-7;16;8;24;49;41;50;2;8;-2;29;3;27;32;0
9;31;8;15;20;25;-2;41;41;0;10;-6;5;9;61;35;0
10;12;0;15;4;28;30;55;70;-1;13;-4;24;31;29;51;0
10;22;-6;16;21;21;64;48;52;3;12;-2;25;10;30;36;0
10;-3;10;14;17;12;94;47;66;1;11;-4;9;2;3;42;0
10;1;26;15;16;13;85;45;18;3;8;-1;37;38;10;9;0
9;52;23;17;5;12;42;54;17;3;8;-1;41;11;21;22;0
8;26;20;18;23;29;9;31;44;2;13;-1;36;28;20;2;0
8;29;1;18;23;50;82;24;36;1;13;-4;40;12;26;7;1
10;2;27;18;21;20;0;2;69;1;11;-4;18;4;17;18;0
10;39;3;18;9;53;34;25;48;-3;10;-3;10;16;-1;2;0
10;62;15;16;22;18;84;1;11;-4;12;-2;10;6;37;60;0
8;-5;7;16;10;26;61;24;61;-4;8;-3;33;13;35;25;0
9;34;20;19;21;14;84;6;21;-2;13;-4;39;2;6;19;0
10;51;-2;16;11;43;8;0;59;5;10;-3;3;28;5;42;0
8;-10;8;15;8;38;66;10;52;-3;11;2;27;11;37;18;0
8;53;5;18;15;25;-5;52;40;5;11;-3;66;10;22;49;1
10;-15;6;14;13;19;68;56;51;5;9;2;36;26;60;7;0
8;43;24;14;21;18;8;41;56;5;10;0;31;13;52;43;1
8;30;5;14;9;15;28;30;58;-4;12;-1;65;25;42;26;1
10;23;23;15;19;51;65;37;27;4;8;1;12;40;35;9;1
10;48;9;19;14;29;86;12;69;-3;9;-6;66;23;22;6;1
8;31;-3;15;4;16;26;7;10;4;10;-1;40;6;44;45;0
9;43;22;16;16;21;52;56;61;2;12;-3;33;25;1;18;1
8;28;8;14;22;35;78;10;37;-1;8;-2;41;5;12;56;1
9;23;-4;15;3;38;92;32;40;-1;10;0;7;23;55;8;0
10;-6;8;15;20;17;81;11;43;2;9;-3;26;23;60;14;0
10;13;2;15;20;16;51;52;33;-4;8;-1;62;22;10;10;0
9;3;8;16;19;49;46;51;32;4;10;-6;52;26;-5;1;0
10;-5;24;19;3;46;-2;19;22;3;12;-2;34;40;4;58;0
8;24;-5;19;9;26;13;21;37;4;12;2;53;29;56;30;1
9;46;-4;19;17;21;68;20;63;4;14;-5;59;18;36;2;1
10;57;17;17;20;18;77;23;49;0;9;-3;14;15;38;14;0
10;63;31;15;8;33;21;29;60;-1;10;0;46;10;14;50;1
9;62;-7;17;15;30;37;50;13;0;10;-3;30;21;45;4;0
8;-5;-5;15;10;44;17;14;28;2;12;1;21;3;33;35;0
8;8;2;17;4;17;84;39;40;0;14;-5;57;5;36;51;0
8;13;26;19;5;42;30;27;28;-1;9;-4;34;26;35;49;1
9;25;13;15;21;31;58;0;43;0;9;-2;29;15;41;44;1
9;37;25;15;13;48;13;50;27;1;12;-4;22;37;24;27;1
8;42;-5;18;14;27;16;31;23;-4;9;-5;22;38;33;17;0
10;60;24;16;6;49;83;54;21;4;9;-3;57;14;2;36;1
10;59;17;18;9;12;22;37;24;-3;9;1;48;6;42;18;0
8;-14;10;16;8;18;56;38;19;4;12;-1;45;32;56;24;0
9;33;13;18;10;17;27;48;62;-1;12;-5;13;36;11;35;0
8;57;16;15;4;33;65;23;10;3;13;-5;24;24;32;10;0
8;26;0;16;3;33;30;2;67;-2;14;1;14;4;10;19;0
8;20;-3;16;23;20;8;2;33;1;9;-6;19;20;12;60;0
9;-11;3;17;15;21;18;33;48;5;10;-1;14;21;47;23;0
10;33;-2;19;12;19;30;6;17;-4;10;-2;33;29;2;34;0
9;43;10;14;10;29;48;26;36;4;14;2;51;3;59;34;1
10;-5;17;15;24;38;70;26;11;-1;11;-2;25;20;-5;32;0
9;25;32;16;11;32;55;11;53;-4;12;2;38;5;60;25;1
10;52;3;19;22;35;7;7;11;-1;10;-2;23;12;-5;37;0
9;-6;28;14;20;42;64;4;62;4;12;-4;66;26;-4;61;1
9;31;8;16;23;44;64;23;16;3;12;-3;50;18;15;45;1
8;24;25;18;8;47;18;27;21;2;8;-3;59;28;6;42;1
10;54;11;18;19;39;68;13;58;5;8;-3;34;13;3;9;1
9;32;26;15;8;19;26;46;19;5;11;-1;36;24;57;12;1
10;61;3;15;18;50;8;30;28;2;11;-2;45;18;-4;27;1
8;49;12;15;11;42;9;52;50;-4;10;-4;24;27;3;55;1
10;-2;17;14;14;33;17;8;41;2;12;2;28;13;15;27;0
10;23;16;19;10;34;69;7;35;0;12;-1;40;14;57;8;0
10;26;-5;17;13;22;36;40;56;-2;14;-1;19;40;25;44;0
9;19;21;16;7;42;14;14;14;-1;11;-6;10;6;55;59;0
9;17;3;17;10;53;72;44;28;-4;14;-3;35;21;61;7;1
8;11;22;19;23;28;71;7;33;4;8;2;13;17;-1;32;0
8;-2;19;17;19;50;30;42;68;4;13;-1;40;38;56;34;1
8;7;30;16;12;39;5;6;28;2;13;-2;61;19;30;44;1
8;2;32;16;15;48;57;31;30;2;12;-1;42;15;10;62;1
9;63;19;18;6;28;25;55;38;-4;14;-1;10;22;29;32;0
8;52;18;15;9;49;19;24;36;0;9;-5;52;19;33;34;1
9;18;22;14;20;16;62;21;19;-4;8;-3;6;26;14;12;0
8;54;20;14;6;40;44;54;13;-4;8;-5;55;21;10;30;1
8;54;4;16;23;23;93;31;36;1;10;-6;36;14;15;30;1
10;38;9;15;21;37;66;4;10;-1;10;0;66;15;56;2;1
9;1;6;19;24;40;75;48;54;2;11;-4;48;5;53;49;1
8;48;-5;18;17;28;50;45;68;-3;9;-1;57;17;42;32;1
9;62;8;19;23;20;2;2;22;5;8;-3;50;11;33;10;0
10;26;23;18;4;12;76;24;50;5;10;-6;20;15;52;11;0
9;27;22;19;20;32;55;24;50;-4;11;1;66;22;16;48;1
8;44;20;17;17;19;62;52;17;-3;8;-4;30;33;18;5;0
9;-8;23;15;18;19;13;32;13;0;12;-2;41;35;1;15;0
10;57;8;16;3;32;7;13;36;4;8;1;47;9;58;38;1
9;55;-4;18;17;47;34;22;33;-4;10;0;54;34;34;25;1
10;4;-3;14;18;19;41;24;36;3;8;0;45;37;8;13;0
